cn,rcn_tacc,party_name,election_year,contest_name,total_votes,incumbent_flag,is_winner,average_amount_per_contrib,num_trans,total_contrib
Dawn Ortiz-Legg,dawnortizlegg,Democratic,2016,State Assembly Member District 35,87168.0,N,0,4346.83,625,2716771.46
Jordan Cunningham,jordancunningham,Republican,2016,State Assembly Member District 35,105247.0,N,1,1073.04,1174,1259747.51
Steve Fox,stevefox,Democratic,2016,State Assembly Member District 36,68755.0,N,0,3254.77,50,162738.62
Dante Acosta,danteacosta,Republican,2016,State Assembly Member District 38,102977.0,N,1,2579.15,383,987814.08
Christy Smith,christysmith,Democratic,2016,State Assembly Member District 38,91801.0,N,0,4491.02,401,1800899.51
Patty Lopez,pattylopez,Democratic,2016,State Assembly Member District 39,49649.0,Y,0,1154.33,121,139674.04
Raul Bocanegra,raulbocanegra,Democratic,2016,State Assembly Member District 39,74834.0,N,1,1665.65,685,1140968.09
Marc Steinorth,marcsteinorth,Republican,2016,State Assembly Member District 40,76537.0,Y,1,2848.45,893,2543662.11
Casey C. Higgins,caseychiggins,Republican,2016,State Assembly Member District 41,78817.0,N,0,562.77,41,23073.62
Chris Holden,chrisholden,Democratic,2016,State Assembly Member District 41,120633.0,Y,1,1616.52,508,821194.40
Greg Rodriguez,gregrodriguez,Democratic,2016,State Assembly Member District 42,72581.0,N,0,200.40,1058,212028.24
Chad Mayes,chadmayes,Republican,2016,State Assembly Member District 42,97864.0,Y,1,1508.89,994,1499840.19
Laura Friedman,laurafriedman,Democratic,2016,State Assembly Member District 43,106186.0,N,1,837.64,1433,1200338.98
Ardy Kassakhian,ardykassakhian,Democratic,2016,State Assembly Member District 43,58561.0,N,0,729.12,1524,1111183.94
Kerry J. Nelson,kerryjnelson,Republican,2016,State Assembly Member District 44,74417.0,N,0,212.50,24,5100
Jacqui Irwin,jacquiirwin,Democratic,2016,State Assembly Member District 44,107084.0,Y,1,1476.49,929,1371656.55
Adrin Nazarian,adrinnazarian,Democratic,2016,State Assembly Member District 46,77587.0,Y,1,1294.85,615,796334.19
Angela Rupert,angelarupert,Democratic,2016,State Assembly Member District 46,60658.0,N,0,571.21,98,55979
Peter Amundson,peteramundson,Republican,2016,State Assembly Member District 49,35533.0,N,0,1328.33,15,19925
Frank Bigelow,frankbigelow,Republican,2016,State Assembly Member District 5,121644.0,Y,1,1338.68,758,1014720.81
Richard Bloom,richardbloom,Democratic,2016,State Assembly Member District 50,158967.0,Y,1,1386.47,420,582319.05
Jimmy Gomez,jimmygomez,Democratic,2016,State Assembly Member District 51,110036.0,Y,1,1802.45,632,1139146.80
Freddie Rodriguez,freddierodriguez,Democratic,2016,State Assembly Member District 52,64836.0,Y,1,1473.62,478,704391.44
Miguel Santiago,miguelsantiago,Democratic,2016,State Assembly Member District 53,50958.0,Y,1,1506.47,847,1275979.69
Phillip Chen,phillipchen,Republican,2016,State Assembly Member District 55,98960.0,N,1,2214.54,244,540346.72
Eduardo Garcia,eduardogarcia,Democratic,2016,State Assembly Member District 56,93090.0,Y,1,1558.31,416,648255.32
Cristina Garcia,cristinagarcia,Democratic,2016,State Assembly Member District 58,105170.0,Y,1,1465.29,710,1040352.40
Brian Caples,briancaples,Democratic,2016,State Assembly Member District 6,81919.0,N,0,597.12,34,20302
Kevin Kiley,kevinkiley,Republican,2016,State Assembly Member District 6,149415.0,N,1,757.17,802,607248.75
Sabrina Cervantes,sabrinacervantes,Democratic,2016,State Assembly Member District 60,77404.0,N,1,4024.44,508,2044413.53
Hector Diaz,hectordiaz,Republican,2016,State Assembly Member District 61,46924.0,N,0,1975.10,56,110605.8
Autumn Burke,autumnburke,Democratic,2016,State Assembly Member District 62,123699.0,Y,1,1720.51,572,984130.24
Baron Bruno,baronbruno,Libertarian,2016,State Assembly Member District 62,8958.0,N,0,1157.26,26,30088.66
Anthony Rendon,anthonyrendon,Democratic,2016,State Assembly Member District 63,89134.0,Y,1,2000.66,1341,2682882.44
Theresa Sanford,theresasanford,Republican,2016,State Assembly Member District 64,31300.0,N,0,526.27,20,10525.43
Sharon Quirk-Silva,sharonquirksilva,Democratic,2016,State Assembly Member District 65,79654.0,N,1,4415.87,980,4327551.14
Al Muratsuchi,almuratsuchi,Democratic,2016,State Assembly Member District 66,105336.0,N,1,3946.28,1190,4696068.86
Melissa Melendez,melissamelendez,Republican,2016,State Assembly Member District 67,107654.0,Y,1,1200.00,299,358800
Sean Jay Panahi,seanjaypanahi,Democratic,2016,State Assembly Member District 68,75231.0,N,0,876.33,90,78869.63
Ofelia Velarde-Garcia,ofeliavelardegarcia,Republican,2016,State Assembly Member District 69,32324.0,N,0,453.57,14,6350
Tom Daly,tomdaly,Democratic,2016,State Assembly Member District 69,69640.0,Y,1,1686.62,621,1047389.64
Kevin McCarty,kevinmccarty,Democratic,2016,State Assembly Member District 7,111112.0,Y,1,1537.94,460,707453.07
Ryan K. Brown,ryankbrown,Republican,2016,State Assembly Member District 7,48097.0,N,0,4366.36,3,13099.07
Patrick O'Donnell,patrickodonnell,Democratic,2016,State Assembly Member District 70,107389.0,Y,1,1564.20,555,868133.02
Leo Hamel,leohamel,Republican,2016,State Assembly Member District 71,56184.0,N,0,2375.00,2,4750
Travis Allen,travisallen,Republican,2016,State Assembly Member District 72,98335.0,Y,1,1357.68,405,549858.54
Matthew Harper,matthewharper,Republican,2016,State Assembly Member District 74,114477.0,Y,1,1183.64,221,261584.14
Karina Onofre,karinaonofre,Democratic,2016,State Assembly Member District 74,89362.0,N,0,1001.13,1,1001.13
Marie Waldron,mariewaldron,Republican,2016,State Assembly Member District 75,111598.0,Y,1,1407.60,258,363161.67
Rocky Chavez,rockychavez,Republican,2016,State Assembly Member District 76,95477.0,Y,1,1515.90,158,239512.42
Brian Maienschein,brianmaienschein,Republican,2016,State Assembly Member District 77,121140.0,Y,1,1507.75,493,743322.66
Todd Gloria,toddgloria,Democratic,2016,State Assembly Member District 78,145850.0,N,1,1044.08,716,747558.09
Shirley N. Weber,shirleynweber,Democratic,2016,State Assembly Member District 79,114080.0,Y,1,1320.89,390,515148.87
Ken Cooley,kencooley,Democratic,2016,State Assembly Member District 8,104552.0,Y,1,1621.90,407,660114.07
Jim Cooper,jimcooper,Democratic,2016,State Assembly Member District 9,109979.0,Y,1,1554.53,897,1394415.42
Jane Kim,janekim,Democratic,2016,State Senate District 11,201316.0,N,0,678.24,2307,1564695.86
Jim Beall,jimbeall,Democratic,2016,State Senate District 15,196089.0,Y,1,1937.54,958,1856166.88
Nora Campos,noracampos,Democratic,2016,State Senate District 15,117442.0,N,0,1550.16,353,547205.77
Palmer Kain,palmerkain,Republican,2016,State Senate District 17,141339.0,N,0,558.84,64,35765.62
Hannah-Beth Jackson,hannahbethjackson,Democratic,2016,State Senate District 19,224834.0,Y,1,1199.20,580,695534.22
Michael D. Antonovich,michaeldantonovich,Republican,2016,State Senate District 25,159014.0,N,0,1296.19,1406,1822447.13
Henry Stern,henrystern,Democratic,2016,State Senate District 27,218655.0,N,1,1358.27,2154,2925714.95
Steve Fazio,stevefazio,Republican,2016,State Senate District 27,172827.0,N,0,1506.36,897,1351208.79
Ling Ling Chang,linglingchang,Republican,2016,State Senate District 29,157732.0,N,0,2948.69,1144,3373302.92
Bill Dodd,billdodd,Democratic,2016,State Senate District 3,207927.0,N,1,1219.56,2099,2559861.05
Richard Reed,richardreed,Republican,2016,State Senate District 31,109238.0,N,0,549.60,41,22533.71
Ricardo Lara,ricardolara,Democratic,2016,State Senate District 33,177971.0,Y,1,1511.95,951,1437865.27
Steven Bradford,stevenbradford,Democratic,2016,State Senate District 35,135353.0,N,1,1351.20,707,955297.40
John Renison,johnrenison,Republican,2016,State Senate District 39,155053.0,N,0,1204.11,70,84287.50
Cathleen Galgiani,cathleengalgiani,Democratic,2016,State Senate District 5,174847.0,Y,1,1787.86,1034,1848650.12
Nancy Skinner,nancyskinner,Democratic,2016,State Senate District 9,236133.0,N,1,686.51,2544,1746494.12
